gen_pop_ratio,best_cost,average_cost
0.0289459311851447,262001,355555.4
0.0289855072463768,367346,423046.72
0.032474804031355,288225,356395.72
0.033195020746888,383429,422953.32
0.0341491178144565,283593,341161.36
0.0345,282797,344617.4
0.036,286168,375819.2
0.0361757105943152,443745,502842.72
0.0373295046661881,326420,376551.12
0.0375807398708162,278862,348644.4
0.0390334572490706,447499,554395.2
0.039265357821406,286599,358136.92
0.042713567839196,286672,342035.64
0.0461538461538462,316582,369439.92
0.0482076637824475,291493,352800.4
0.049,361008,414702.96
0.064121037463977,277409,366620.4
0.0650684931506849,377917,454341.32
0.076,387221,432465.88
0.0819672131147541,367406,447133.28
