parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,421425.0,488693.76,36633.81135108203,7.1670782,1.0,244.09344024037756,299.01837124614207
2,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,414279.0,493954.16,50901.56167028015,6.70659336,1.0,238.2587324656662,303.3134869441677
3,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,415292.0,485321.52,44681.935562297804,6.85168452,1.0,239.0858467919722,296.26493786436305
4,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,429693.0,491155.68,40379.044660896405,6.852851,1.0,250.84426082270522,301.02852850400905
5,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,415588.0,496640.76,35035.64891445093,48.376170480000006,1.0,239.32753074121854,305.50709538351
6,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,426485.0,479967.44,36594.2218629754,19.95737876,1.0,248.22492937276485,291.89333246240017
7,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,412887.0,485312.68,36836.821621080904,6.82090436,1.0,237.1221647043454,296.25772000587875
8,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,454185.0,498407.64,21984.80686534832,6.6662006400000005,1.0,270.8419746231853,306.94975260055196
9,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,379838.0,489537.6,33760.242136029374,6.61621592,1.0,210.137661871091,299.70736646145303
10,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,386071.0,491368.6,45285.920372672124,6.86866444,1.0,215.2269053023499,301.20237764750067
11,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,431879.0,489686.52,50980.86564267683,6.72576536,1.0,252.6291294478828,299.8289596159185
12,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,441565.0,495504.64,33803.124995923084,6.36559168,1.0,260.53774678707316,304.57945359831473
13,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,421818.0,480779.52,32238.007651580043,6.6410418,1.0,244.41432467299182,292.5563956431569
14,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,405000.0,472086.12,35397.253298949625,7.0283192,1.0,230.6824305566896,285.45823603377045
15,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,413051.0,486162.92,38383.442660779314,6.68742644,1.0,237.25607067622514,296.95194082009243
16,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,429282.0,491407.04,36738.60354640606,6.45805444,1.0,250.50867939317732,301.23376390090954
17,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,420631.0,491180.4,39655.37702506433,6.60239836,1.0,243.44513937652073,301.0487123797704
18,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,437122.0,484498.16,27016.536713156507,6.72587704,1.0,256.91003804889203,295.5926645655404
19,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,439018.0,498072.68,34547.5627043356,6.43466188,1.0,258.4581217237945,306.67625781798586
20,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,389156.0,483363.2,37073.75490829058,6.72414056,1.0,217.74580727338048,294.6659699201463
21,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,424291.0,500023.52,38791.9315054905,6.58339692,1.0,246.43352874895896,308.26911834348516
22,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,417994.0,482814.44,35776.1553296792,6.6377528,1.0,241.29202932867386,294.21790747423944
23,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,402415.0,495523.68,44048.67021519114,6.46152856,1.0,228.57177849992652,304.5949997550501
24,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,438824.0,496261.32,29432.362297194788,6.6915523199999996,1.0,258.29972075705865,305.1972826885706
25,1757,0.04348426929753389,0.16627811888336008,60,0.000569184496055265,423991.0,487474.0,40657.79501010026,6.88451384,1.0,246.18857880039843,298.02243741528815
