parameter_set_id,population_size,elite_size,crossover_segment,stop_iterations,stop_improvement,best_cost,average_cost,std_deviation,average_execution_time,success_rate,baseline_gap_best_percent,baseline_gap_average_percent
1,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,921.0,1023.08,76.43402383755549,1.237769,1.0,5.6192660550458715,17.3256880733945
2,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,914.0,1028.6,75.35471672916921,1.24280504,1.0,4.81651376146789,17.958715596330265
3,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,915.0,1030.52,86.76362525083115,1.26614464,1.0,4.931192660550459,18.178899082568805
4,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,896.0,1012.48,61.06220871646663,1.30636084,1.0,2.7522935779816518,16.110091743119266
5,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,923.0,1043.8,81.85454579109621,1.27070176,1.0,5.848623853211009,19.701834862385315
6,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,911.0,1037.84,79.56270064127621,1.3314564,1.0,4.472477064220183,19.0183486238532
7,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,885.0,1028.28,71.24284759422052,1.3094878,1.0,1.4908256880733946,17.92201834862385
8,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,892.0,1026.08,77.38804817282835,1.33941212,1.0,2.293577981651376,17.66972477064219
9,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,901.0,1013.32,84.10099087803108,1.31963852,1.0,3.325688073394496,16.20642201834863
10,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,907.0,1048.32,81.09136822128481,1.23699212,1.0,4.013761467889909,20.220183486238525
11,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,921.0,1040.64,87.23382371534565,1.29344628,1.0,5.6192660550458715,19.339449541284417
12,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,874.0,1033.8,72.22534181296756,1.27101992,1.0,0.22935779816513763,18.555045871559628
13,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,932.0,1036.04,86.94226053345213,1.28324216,1.0,6.8807339449541285,18.811926605504585
14,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,877.0,1035.92,74.34767425190022,1.26575436,1.0,0.573394495412844,18.798165137614685
15,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,922.0,1036.12,91.70665188523677,1.28566828,1.0,5.73394495412844,18.82110091743118
16,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,877.0,1034.24,82.8061390638802,1.23502004,1.0,0.573394495412844,18.605504587155963
17,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,912.0,999.92,57.23119778582308,1.36548816,1.0,4.587155963302752,14.669724770642198
18,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,870.0,1037.68,88.76641632209034,1.34924592,1.0,-0.22935779816513763,19.000000000000007
19,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,873.0,1054.64,118.2352457321138,1.2971316,1.0,0.11467889908256881,20.94495412844038
20,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,889.0,1011.28,87.331036865481,1.26832204,1.0,1.94954128440367,15.97247706422018
21,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,924.0,1022.36,80.65506803667083,1.24404608,1.0,5.963302752293578,17.24311926605505
22,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,921.0,1012.44,73.11126224232945,1.284861,1.0,5.6192660550458715,16.10550458715597
23,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,912.0,1008.24,66.57406902591028,1.30368068,1.0,4.587155963302752,15.623853211009175
24,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,921.0,1011.2,70.2780193232564,1.22087148,1.0,5.6192660550458715,15.963302752293584
25,2000,0.046454455410209886,0.2789202147004082,67,0.0007022133000728626,843.0,1029.96,92.57586078454793,1.2110729199999999,1.0,-3.325688073394496,18.114678899082573
